Category: All categories

Day,zip pay asx: (Australia),zip pay: (Australia),zip pay share price: (Australia),zippay: (Australia)
2020-05-04,6,30,3,63
2020-05-05,3,34,6,59
2020-05-06,5,47,4,68
2020-05-07,3,30,5,82
2020-05-08,6,38,13,77
2020-05-09,0,25,0,80
2020-05-10,5,33,0,62
2020-05-11,7,34,4,74
2020-05-12,3,26,4,71
2020-05-13,5,39,6,66
2020-05-14,3,32,5,70
2020-05-15,3,32,6,73
2020-05-16,7,32,0,72
2020-05-17,3,34,0,70
2020-05-18,3,37,4,72
2020-05-19,6,42,4,59
2020-05-20,6,30,4,78
2020-05-21,3,37,6,76
2020-05-22,6,28,6,43
2020-05-23,4,24,4,43
2020-05-24,3,30,3,47
2020-05-25,7,39,4,86
2020-05-26,5,36,4,72
2020-05-27,6,24,6,61
2020-05-28,5,29,5,64
2020-05-29,3,29,3,57
2020-05-30,4,30,0,61
2020-05-31,5,29,3,68
2020-06-01,10,51,7,95
2020-06-02,14,83,17,82
2020-06-03,21,100,25,87
2020-06-04,15,50,11,67
2020-06-05,8,48,10,67
2020-06-06,6,29,6,61
2020-06-07,0,22,6,61
2020-06-08,7,41,8,72
2020-06-09,15,61,11,70
2020-06-10,9,53,16,78
2020-06-11,5,44,11,73
2020-06-12,7,47,12,79
