Day zip_pay
2020-05-04 34
2020-05-05 37
2020-05-06 47
2020-05-07 36
2020-05-08 52
2020-05-09 25
2020-05-10 35
2020-05-11 44
2020-05-12 32
2020-05-13 32
2020-05-14 38
2020-05-15 34
2020-05-16 23
2020-05-17 25
2020-05-18 40
2020-05-19 42
2020-05-20 31
2020-05-21 44
2020-05-22 32
2020-05-23 23
2020-05-24 31
2020-05-25 40
2020-05-26 39
2020-05-27 23
2020-05-28 26
2020-05-29 35
2020-05-30 31
2020-05-31 35
2020-06-01 54
2020-06-02 82
2020-06-03 100
2020-06-04 60
2020-06-05 58
2020-06-06 48
2020-06-07 25
2020-06-08 36
2020-06-09 63
2020-06-10 65
2020-06-11 64
2020-06-12 40
